industry,count,sectors,pct
telecommunications,8591,"Manufacturing, Telecommunications",4.19
management consulting,8476,"Financial Services, Management Consulting, Manufacturing, Professional Services, Retail & Consumer",4.13
real estate,8204,Real Estate,4.0
marketing and advertising,7265,Marketing & Communications,3.54
law practice,5469,"Health & Wellness, Legal",2.67
hospital & health care,5209,"Health & Wellness, Real Estate",2.54
information technology and services,5204,"Management Consulting, Professional Services, Sports, Recreation & Travel, Technology, Telecommunications",2.54
non-profit organization management,5128,"Government & Public Sector, Health & Wellness, Non-profit & Social",2.5
construction,5083,"Construction & Infrastructure, Food & Agriculture, Telecommunications",2.48
government administration,4685,"Energy & Environment, Government & Public Sector, Research & Science",2.28
higher education,4403,"Education, Professional Services",2.15
staffing and recruiting,4323,Human Resources & Staffing,2.11
oil & energy,3998,"Energy & Environment, Professional Services",1.95
architecture & planning,3521,"Construction & Infrastructure, Design & Creative, Government & Public Sector, Telecommunications",1.72
hospitality,3521,"Sports, Recreation & Travel",1.72
research,3486,"Research & Science, Transportation & Logistics",1.7
financial services,3433,Financial Services,1.67
legal services,3388,Legal,1.65
food & beverages,3357,"Food & Agriculture, Government & Public Sector",1.64
retail,3341,"Media & Entertainment, Retail & Consumer",1.63
education management,3307,Education,1.61
human resources,3204,Human Resources & Staffing,1.56
medical devices,3133,"Research & Science, Technology",1.53
consumer services,3112,"Design & Creative, Financial Services, Government & Public Sector, Management Consulting, Professional Services, Technology",1.52
security and investigations,3044,"Government & Public Sector, Manufacturing, Marketing & Communications, Professional Services, Technology",1.48
design,2902,"Design & Creative, Professional Services, Sports, Recreation & Travel",1.42
logistics and supply chain,2452,Transportation & Logistics,1.2
automotive,2439,Manufacturing,1.19
food production,2395,"Food & Agriculture, Retail & Consumer",1.17
transportation/trucking/railroad,2331,"Legal, Transportation & Logistics",1.14
biotechnology,2322,Research & Science,1.13
banking,2315,Financial Services,1.13
insurance,2130,Financial Services,1.04
"leisure, travel & tourism",2058,"Sports, Recreation & Travel",1.0
computer software,1713,Technology,0.84
building materials,1574,Construction & Infrastructure,0.77
