industry,sector,count
information technology and services,Technology,369513
marketing and advertising,Marketing & Communications,284501
construction,Construction & Infrastructure,193730
management consulting,Management Consulting,160191
real estate,Real Estate,150563
computer software,Technology,147938
internet,Technology,147706
financial services,Financial Services,130672
"health, wellness and fitness",Health & Wellness,121720
legal services,Legal,114393
design,Design & Creative,100939
education management,Education,100788
hospital & health care,Health & Wellness,96113
retail,Retail & Consumer,92324
non-profit organization management,Non-profit & Social,89795
automotive,Manufacturing,80415
hospitality,"Sports, Recreation & Travel",75296
food & beverages,Food & Agriculture,73092
professional training & coaching,Education,70785
entertainment,Media & Entertainment,69283
accounting,Financial Services,65368
staffing and recruiting,Human Resources & Staffing,63371
events services,"Sports, Recreation & Travel",63132
architecture & planning,Design & Creative,62686
mechanical or industrial engineering,Manufacturing,62317
human resources,Human Resources & Staffing,61627
"leisure, travel & tourism","Sports, Recreation & Travel",57944
telecommunications,Telecommunications,57370
media production,Media & Entertainment,57327
electrical/electronic manufacturing,Manufacturing,54731
insurance,Financial Services,53980
oil & energy,Energy & Environment,52981
apparel & fashion,Retail & Consumer,52641
sports,"Sports, Recreation & Travel",52379
environmental services,Energy & Environment,44017
consumer services,Professional Services,43690
transportation/trucking/railroad,Transportation & Logistics,42294
machinery,Manufacturing,41258
music,Media & Entertainment,40838
consumer goods,Retail & Consumer,39995
renewables & environment,Energy & Environment,39966
photography,Design & Creative,38849
graphic design,Design & Creative,38721
publishing,Media & Entertainment,36361
medical practice,Health & Wellness,35958
wholesale,Retail & Consumer,34657
public relations and communications,Marketing & Communications,33783
building materials,Construction & Infrastructure,32100
civil engineering,Construction & Infrastructure,31482
logistics and supply chain,Transportation & Logistics,30799
facilities services,Construction & Infrastructure,30525
printing,Manufacturing,30228
restaurants,Food & Agriculture,29028
higher education,Education,28920
aviation & aerospace,Transportation & Logistics,28884
civic & social organization,Non-profit & Social,28843
food production,Food & Agriculture,28663
medical devices,Research & Science,28334
research,Research & Science,27784
pharmaceuticals,Health & Wellness,26516
investment management,Financial Services,26045
furniture,Retail & Consumer,25992
religious institutions,Non-profit & Social,24621
online media,Media & Entertainment,24489
security and investigations,Professional Services,24383
broadcast media,Media & Entertainment,23990
e-learning,Education,23896
business supplies and equipment,Retail & Consumer,23422
individual & family services,Non-profit & Social,23108
chemicals,Manufacturing,21984
government administration,Government & Public Sector,21976
mining & metals,Energy & Environment,21788
industrial automation,Manufacturing,21735
arts and crafts,Design & Creative,21693
international trade and development,Government & Public Sector,21382
mental health care,Health & Wellness,20918
primary/secondary education,Education,20645
biotechnology,Research & Science,20337
motion pictures and film,Media & Entertainment,19658
import and export,Transportation & Logistics,19540
information services,Technology,19455
consumer electronics,Retail & Consumer,19130
banking,Financial Services,18819
writing and editing,Media & Entertainment,18550
textiles,Manufacturing,17671
cosmetics,Retail & Consumer,17208
farming,Food & Agriculture,16841
maritime,Transportation & Logistics,15202
computer & network security,Technology,15119
computer games,Technology,15108
fine art,Design & Creative,15088
venture capital & private equity,Financial Services,14740
wine and spirits,Food & Agriculture,14654
utilities,Energy & Environment,14316
performing arts,Media & Entertainment,14225
sporting goods,Retail & Consumer,13451
luxury goods & jewelry,Retail & Consumer,13377
plastics,Manufacturing,13103
packaging and containers,Manufacturing,12706
market research,Marketing & Communications,12390
commercial real estate,Real Estate,12236
computer hardware,Technology,12145
computer networking,Technology,11784
recreational facilities and services,"Sports, Recreation & Travel",11421
veterinary,Health & Wellness,11403
program development,Education,11252
outsourcing/offshoring,Human Resources & Staffing,11140
philanthropy,Non-profit & Social,10256
translation and localization,Professional Services,9985
newspapers,Media & Entertainment,9131
executive office,Professional Services,8937
public safety,Government & Public Sector,8462
museums and institutions,Non-profit & Social,8238
investment banking,Financial Services,7920
defense & space,Government & Public Sector,7659
fund-raising,Non-profit & Social,7396
government relations,Government & Public Sector,7127
think tanks,Government & Public Sector,6671
alternative medicine,Health & Wellness,6229
animation,Design & Creative,5994
public policy,Government & Public Sector,5621
political organization,Government & Public Sector,5465
international affairs,Government & Public Sector,5460
wireless,Technology,5327
semiconductors,Technology,5326
paper & forest products,Manufacturing,4896
law enforcement,Government & Public Sector,4785
warehousing,Transportation & Logistics,4701
capital markets,Financial Services,4303
"glass, ceramics & concrete",Manufacturing,4282
gambling & casinos,"Sports, Recreation & Travel",3865
libraries,Education,3508
judiciary,Government & Public Sector,2782
shipbuilding,Manufacturing,2746
package/freight delivery,Transportation & Logistics,2483
military,Government & Public Sector,2268
alternative dispute resolution,Legal,2141
nanotechnology,Research & Science,2137
dairy,Food & Agriculture,2098
supermarkets,Food & Agriculture,1801
fishery,Food & Agriculture,1761
ranching,Food & Agriculture,1636
railroad manufacture,Manufacturing,1133
tobacco,Retail & Consumer,946
legislative office,Government & Public Sector,314
