name,domain,sector,filepath
engecorps,engecorps.com.br,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/engecorps.com.br.png
eksjöhus ab,eksjohus.se,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/eksjohus.se.png
orbenk administração e serviços ltda,orbenk.com.br,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/orbenk.com.br.png
webcor builders,webcor.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/webcor.com.png
boes construction,boesconstruction.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/boesconstruction.com.png
milestone contractors lp,milestonelp.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/milestonelp.com.png
aci,aci.uk.net,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/aci.uk.net.png
urc construction (p) ltd,urcindia.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/urcindia.com.png
entellus,entellus.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/entellus.com.png
casa a/s,casa-as.dk,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/casa-as.dk.png
sierra air inc,sierraair.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/sierraair.com.png
naylor love,naylorlove.co.nz,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/naylorlove.co.nz.png
cesel ingenieros,cesel.com.pe,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/cesel.com.pe.png
ringway,ringway.co.uk,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/ringway.co.uk.png
ram board,ramboard.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/ramboard.com.png
atlanta west home solutions,atlwest.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/atlwest.com.png
bintai kindenko private limited,bea-ing.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/bea-ing.com.png
gebäudereinigung,de.tl,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/de.tl.png
31-w insulation,31w.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/31w.com.png
ls building products,ls-usa.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/ls-usa.com.png
cgk group,cgk.be,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/cgk.be.png
engineer the future,engineerthefuture.dk,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/engineerthefuture.dk.png
royal infraconstru ltd.,royalconstruct.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/royalconstruct.com.png
